Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.05     20.61     0.01   416887     0.00     0.00  bool __gnu_cxx::operator==<Superpixel const*, std::vector<Superpixel, std::allocator<Superpixel> > >(__gnu_cxx::__normal_iterator<Superpixel const*, std::vector<Superpixel, std::allocator<Superpixel> > > const&, __gnu_cxx::__normal_iterator<Superpixel const*, std::vector<Superpixel, std::allocator<Superpixel> > > const&)
  0.05     20.61     0.01   416887     0.00     0.00  std::vector<Superpixel, std::allocator<Superpixel> >::end() const
  0.05     20.62     0.01   416887     0.00     0.00  std::vector<Superpixel, std::allocator<Superpixel> >::empty() const
  0.05     20.64     0.01   416886     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::operator-(long) const
  0.05     20.64     0.01   415096     0.00     0.00  std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::find(std::pair<int, int> const&)
  0.05     20.66     0.01   415096     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::find(std::pair<int, int> const&)
  0.05     20.66     0.01    76182     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::difference_type __gnu_cxx::operator-<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >(__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > const&, __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > const&)
  0.05     20.68     0.01    18969     0.00     0.00  std::deque<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_destroy_data(std::_Deque_iterator<cv::Point_<int>, cv::Point_<int>&, cv::Point_<int>*>, std::_Deque_iterator<cv::Point_<int>, cv::Point_<int>&, cv::Point_<int>*>, std::allocator<cv::Point_<int> > const&)
  0.05     20.68     0.01        1     0.01     0.01  SARSegmentation::generateSegmentationResult(std::vector<int, std::allocator<int> > const&)
  0.02     20.69     0.01  7744727     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.02     20.70     0.01  6775388     0.00     0.00  std::_Identity<std::pair<int, int> >::operator()(std::pair<int, int> const&) const
  0.02     20.70     0.01  6756893     0.00     0.00  std::_Rb_tree_node<std::pair<int, int> >::_M_valptr() const
  0.02     20.70     0.01   825518     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.02     20.71     0.01     9248     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_get_insert_unique_pos(std::pair<int, int> const&)
  0.02     20.71     0.01     2457     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int)
  0.02     20.72     0.01       30     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::max_size() const
  0.00     20.72     0.00  8533856     0.00     0.00  operator new(unsigned long, void*)
  0.00     20.72     0.00  8386560     0.00     0.00  std::remove_reference<std::pair<int, int>&>::type&& std::move<std::pair<int, int>&>(std::pair<int, int>&)
  0.00     20.72     0.00  7734894     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00     20.72     0.00  7703809     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00     20.72     0.00  6909376     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00     20.72     0.00  6756893     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int, int> >::_M_addr() const
  0.00     20.72     0.00  6756893     0.00     0.00  std::less<std::pair<int, int> >::operator()(std::pair<int, int> const&, std::pair<int, int> const&) const
  0.00     20.72     0.00  5951238     0.00     0.00  cv::Point_<int>* std::__addressof<cv::Point_<int> >(cv::Point_<int>&)
  0.00     20.72     0.00  5241600     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&)
  0.00     20.72     0.00  4193280     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator++()
  0.00     20.72     0.00  4193280     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator*() const
  0.00     20.72     0.00  4193280     0.00     0.00  int&& std::__pair_get<0ul>::__move_get<int, int>(std::pair<int, int>&&)
  0.00     20.72     0.00  4193280     0.00     0.00  void std::_Construct<std::pair<int, int>, std::pair<int, int> const&>(std::pair<int, int>*, std::pair<int, int> const&)
  0.00     20.72     0.00  4193280     0.00     0.00  std::pair<int, int>* std::__addressof<std::pair<int, int> >(std::pair<int, int>&)
  0.00     20.72     0.00  4193280     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00     20.72     0.00  3369241     0.00     0.00  double& cv::Mat::at<double>(int, int)
  0.00     20.72     0.00  3144960     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_get_Tp_allocator()
  0.00     20.72     0.00  3144960     0.00     0.00  std::__new_allocator<std::pair<int, int> >::~__new_allocator()
  0.00     20.72     0.00  3068056     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::base() const
  0.00     20.72     0.00  2158260     0.00     0.00  cv::Point_<int> const& std::forward<cv::Point_<int> const&>(std::remove_reference<cv::Point_<int> const&>::type&)
  0.00     20.72     0.00  2096640     0.00     0.00  std::initializer_list<std::pair<int, int> >::begin() const
  0.00     20.72     0.00  2096640     0.00     0.00  std::pair<int, int>::pair<int&, int, true>(int&, int&&)
  0.00     20.72     0.00  2096640     0.00     0.00  std::pair<int, int>::pair<int, int&, true>(int&&, int&)
  0.00     20.72     0.00  1776796     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::operator*() const
  0.00     20.72     0.00  1596305     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_left(std::_Rb_tree_node_base*)
  0.00     20.72     0.00  1494890     0.00     0.00  std::_Deque_iterator<cv::Point_<int>, cv::Point_<int>&, cv::Point_<int>*>::_Deque_iterator(std::_Deque_iterator<cv::Point_<int>, cv::Point_<int>&, cv::Point_<int>*> const&)
  0.00     20.72     0.00  1456952     0.00     0.00  std::_Deque_iterator<cv::Point_<int>, cv::Point_<int>&, cv::Point_<int>*>::operator*() const
  0.00     20.72     0.00  1381664     0.00     0.00  bool __gnu_cxx::operator!=<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >(__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > const&, __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > const&)
  0.00     20.72     0.00  1359910     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::operator++()
  0.00     20.72     0.00  1268438     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Point_<int> const*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::base() const
  0.00     20.72     0.00  1148149     0.00     0.00  cv::Point_<int>::Point_(int, int)
  0.00     20.72     0.00  1051105     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00     20.72     0.00  1049159     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00     20.72     0.00  1048389     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  0.00     20.72     0.00  1048320     0.00     0.00  unsigned char& cv::Mat::at<unsigned char>(int, int)
  0.00     20.72     0.00  1048320     0.00     0.00  std::initializer_list<std::pair<int, int> >::end() const
  0.00     20.72     0.00  1048320     0.00     0.00  std::initializer_list<std::pair<int, int> >::size() const
  0.00     20.72     0.00  1048320     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::pair<int, int>*>(std::pair<int, int>*, std::pair<int, int>*)
  0.00     20.72     0.00  1048320     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_allocate(unsigned long)
  0.00     20.72     0.00  1048320     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_Vector_impl::_Vector_impl(std::allocator<std::pair<int, int> > const&)
  0.00     20.72     0.00  1048320     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_Vector_impl::~_Vector_impl()
  0.00     20.72     0.00  1048320     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_deallocate(std::pair<int, int>*, unsigned long)
  0.00     20.72     0.00  1048320     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_Vector_impl_data::_Vector_impl_data()
  0.00     20.72     0.00  1048320     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_Vector_base(std::allocator<std::pair<int, int> > const&)
  0.00     20.72     0.00  1048320     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::~_Vector_base()
  0.00     20.72     0.00  1048320     0.00     0.00  std::__new_allocator<std::pair<int, int> >::deallocate(std::pair<int, int>*, unsigned long)
  0.00     20.72     0.00  1048320     0.00     0.00  std::__new_allocator<std::pair<int, int> >::allocate(unsigned long, void const*)
  0.00     20.72     0.00  1048320     0.00     0.00  std::pair<int, int>* std::__uninitialized_copy<false>::__uninit_copy<std::pair<int, int> const*, std::pair<int, int>*>(std::pair<int, int> const*, std::pair<int, int> const*, std::pair<int, int>*)
  0.00     20.72     0.00  1048320     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_S_max_size(std::allocator<std::pair<int, int> > const&)
  0.00     20.72     0.00  1048320     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_S_check_init_len(unsigned long, std::allocator<std::pair<int, int> > const&)
  0.00     20.72     0.00  1048320     0.00     0.00  void std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_range_initialize<std::pair<int, int> const*>(std::pair<int, int> const*, std::pair<int, int> const*, std::forward_iterator_tag)
  0.00     20.72     0.00  1048320     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::end()
  0.00     20.72     0.00  1048320     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::begin()
  0.00     20.72     0.00  1048320     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::vector(std::initializer_list<std::pair<int, int> >, std::allocator<std::pair<int, int> > const&)
  0.00     20.72     0.00  1048320     0.00     0.00  std::pair<int, int>* std::__do_uninit_copy<std::pair<int, int> const*, std::pair<int, int>*>(std::pair<int, int> const*, std::pair<int, int> const*, std::pair<int, int>*)
  0.00     20.72     0.00  1048320     0.00     0.00  std::pair<int, int>* std::__uninitialized_copy_a<std::pair<int, int> const*, std::pair<int, int>*, std::pair<int, int> >(std::pair<int, int> const*, std::pair<int, int> const*, std::pair<int, int>*, std::allocator<std::pair<int, int> >&)
  0.00     20.72     0.00  1048320     0.00     0.00  void std::_Destroy<std::pair<int, int>*>(std::pair<int, int>*, std::pair<int, int>*)
  0.00     20.72     0.00   862084     0.00     0.00  std::_Rb_tree_iterator<std::pair<int, int> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00     20.72     0.00   833774     0.00     0.00  __gnu_cxx::__normal_iterator<Superpixel const*, std::vector<Superpixel, std::allocator<Superpixel> > >::__normal_iterator(Superpixel const* const&)
  0.00     20.72     0.00   833774     0.00     0.00  __gnu_cxx::__normal_iterator<Superpixel const*, std::vector<Superpixel, std::allocator<Superpixel> > >::base() const
  0.00     20.72     0.00   747445     0.00     0.00  std::deque<cv::Point_<int>, std::allocator<cv::Point_<int> > >::empty() const
  0.00     20.72     0.00   747445     0.00     0.00  std::queue<cv::Point_<int>, std::deque<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::empty() const
  0.00     20.72     0.00   747445     0.00     0.00  std::_Deque_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_get_Tp_allocator()
  0.00     20.72     0.00   747445     0.00     0.00  std::deque<cv::Point_<int>, std::allocator<cv::Point_<int> > >::end()
  0.00     20.72     0.00   747445     0.00     0.00  std::deque<cv::Point_<int>, std::allocator<cv::Point_<int> > >::begin()
  0.00     20.72     0.00   747445     0.00     0.00  std::operator==(std::_Deque_iterator<cv::Point_<int>, cv::Point_<int>&, cv::Point_<int>*> const&, std::_Deque_iterator<cv::Point_<int>, cv::Point_<int>&, cv::Point_<int>*> const&)
  0.00     20.72     0.00   728476     0.00     0.00  std::_Deque_iterator<cv::Point_<int>, cv::Point_<int>&, cv::Point_<int>*>::operator--()
  0.00     20.72     0.00   728476     0.00     0.00  std::deque<cv::Point_<int>, std::allocator<cv::Point_<int> > >::back()
  0.00     20.72     0.00   728476     0.00     0.00  std::deque<cv::Point_<int>, std::allocator<cv::Point_<int> > >::front()
  0.00     20.72     0.00   728476     0.00     0.00  std::deque<cv::Point_<int>, std::allocator<cv::Point_<int> > >::pop_front()
  0.00     20.72     0.00   728476     0.00     0.00  std::queue<cv::Point_<int>, std::deque<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::pop()
  0.00     20.72     0.00   728476     0.00     0.00  std::queue<cv::Point_<int>, std::deque<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::push(cv::Point_<int>&&)
  0.00     20.72     0.00   728476     0.00     0.00  std::queue<cv::Point_<int>, std::deque<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::front()
  0.00     20.72     0.00   728476     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::push_back(cv::Point_<int> const&)
