Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00  114649/4745759     std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_right(std::_Rb_tree_node_base*) [60]
                0.00    0.00  152113/6756893     std::less<std::pair<int, int> >::operator()(std::pair<int, int> const&, std::pair<int, int> const&) const [57]
                0.00    0.00   28217/1596305     std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_left(std::_Rb_tree_node_base*) [195]
                0.00    0.00    9248/424345      std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_begin() [241]
                0.00    0.00    9248/433592      std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_end() [239]
                0.00    0.00    9248/862084      std::_Rb_tree_iterator<std::pair<int, int> >::_Rb_tree_iterator(std::_Rb_tree_node_base*) [219]
                0.00    0.00    9248/9248        std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<int, int> >*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<std::pair<int, int> >*&, std::_Rb_tree_node_base*&) [339]
                0.00    0.00    4148/4148        std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::begin() [381]
                0.00    0.00    4148/419244      std::operator==(std::_Rb_tree_iterator<std::pair<int, int> > const&, std::_Rb_tree_iterator<std::pair<int, int> > const&) [244]
                0.00    0.00    4147/4147        std::_Rb_tree_iterator<std::pair<int, int> >::operator--() [382]
-----------------------------------------------
                0.00    0.01       1/1           SARSegmentation::extractSuperpixels() [3]
[79]     0.0    0.00    0.01       1         std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::vector(unsigned long, std::vector<bool, std::allocator<bool> > const&, std::allocator<std::vector<bool, std::allocator<bool> > > const&) [79]
                0.00    0.01       1/1           std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_M_fill_initialize(unsigned long, std::vector<bool, std::allocator<bool> > const&) [83]
                0.00    0.00       1/1           std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_S_check_init_len(unsigned long, std::allocator<std::vector<bool, std::allocator<bool> > > const&) [161]
                0.00    0.00       1/1           std::_Vector_base<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_Vector_base(unsigned long, std::allocator<std::vector<bool, std::allocator<bool> > > const&) [719]
-----------------------------------------------
                0.00    0.01     819/819         void std::_Construct<std::vector<bool, std::allocator<bool> >, std::vector<bool, std::allocator<bool> > const&>(std::vector<bool, std::allocator<bool> >*, std::vector<bool, std::allocator<bool> > const&) [81]
[80]     0.0    0.00    0.01     819         std::vector<bool, std::allocator<bool> >::vector(std::vector<bool, std::allocator<bool> > const&) [80]
                0.00    0.00     819/819         std::vector<bool, std::allocator<bool> >::_M_copy_aligned(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [103]
                0.00    0.00     819/819         std::vector<bool, std::allocator<bool> >::size() const [104]
                0.00    0.00     819/1638        std::vector<bool, std::allocator<bool> >::begin() const [97]
                0.00    0.00     819/820         std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long) [119]
                0.00    0.00     819/7735713     std::vector<bool, std::allocator<bool> >::begin() [13]
                0.00    0.00     819/820         std::_Bvector_base<std::allocator<bool> >::_Bvector_base(std::allocator<bool> const&) [126]
                0.00    0.00     819/1638        std::vector<bool, std::allocator<bool> >::end() const [129]
                0.00    0.00     819/819         std::_Bvector_base<std::allocator<bool> >::_M_get_Bit_allocator() const [472]
                0.00    0.00     819/820         std::__new_allocator<bool>::~__new_allocator() [469]
                0.00    0.00     819/2459        std::__new_allocator<unsigned long>::~__new_allocator() [422]
-----------------------------------------------
                0.00    0.01     819/819         std::vector<bool, std::allocator<bool> >* std::__do_uninit_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&) [84]
[81]     0.0    0.00    0.01     819         void std::_Construct<std::vector<bool, std::allocator<bool> >, std::vector<bool, std::allocator<bool> > const&>(std::vector<bool, std::allocator<bool> >*, std::vector<bool, std::allocator<bool> > const&) [81]
                0.00    0.01     819/819         std::vector<bool, std::allocator<bool> >::vector(std::vector<bool, std::allocator<bool> > const&) [80]
                0.00    0.00     819/8533856     operator new(unsigned long, void*) [177]
                0.00    0.00     819/819         std::vector<bool, std::allocator<bool> > const& std::forward<std::vector<bool, std::allocator<bool> > const&>(std::remove_reference<std::vector<bool, std::allocator<bool> > const&>::type&) [496]
-----------------------------------------------
                0.00    0.01       1/1           std::vector<bool, std::allocator<bool> >* std::uninitialized_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&) [85]
[82]     0.0    0.00    0.01       1         std::vector<bool, std::allocator<bool> >* std::__uninitialized_fill_n<false>::__uninit_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&) [82]
                0.00    0.01       1/1           std::vector<bool, std::allocator<bool> >* std::__do_uninit_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&) [84]
-----------------------------------------------
                0.00    0.01       1/1           std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::vector(unsigned long, std::vector<bool, std::allocator<bool> > const&, std::allocator<std::vector<bool, std::allocator<bool> > > const&) [79]
[83]     0.0    0.00    0.01       1         std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_M_fill_initialize(unsigned long, std::vector<bool, std::allocator<bool> > const&) [83]
                0.00    0.01       1/1           std::vector<bool, std::allocator<bool> >* std::__uninitialized_fill_n_a<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> >, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&, std::allocator<std::vector<bool, std::allocator<bool> > >&) [86]
                0.00    0.00       1/2           std::_Vector_base<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_M_get_Tp_allocator() [651]
-----------------------------------------------
                0.00    0.01       1/1           std::vector<bool, std::allocator<bool> >* std::__uninitialized_fill_n<false>::__uninit_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&) [82]
[84]     0.0    0.00    0.01       1         std::vector<bool, std::allocator<bool> >* std::__do_uninit_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&) [84]
                0.00    0.01     819/819         void std::_Construct<std::vector<bool, std::allocator<bool> >, std::vector<bool, std::allocator<bool> > const&>(std::vector<bool, std::allocator<bool> >*, std::vector<bool, std::allocator<bool> > const&) [81]
                0.00    0.00     819/1638        std::vector<bool, std::allocator<bool> >* std::__addressof<std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >&) [430]
-----------------------------------------------
                0.00    0.01       1/1           std::vector<bool, std::allocator<bool> >* std::__uninitialized_fill_n_a<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> >, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&, std::allocator<std::vector<bool, std::allocator<bool> > >&) [86]
[85]     0.0    0.00    0.01       1         std::vector<bool, std::allocator<bool> >* std::uninitialized_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&) [85]
                0.00    0.01       1/1           std::vector<bool, std::allocator<bool> >* std::__uninitialized_fill_n<false>::__uninit_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&) [82]
-----------------------------------------------
                0.00    0.01       1/1           std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_M_fill_initialize(unsigned long, std::vector<bool, std::allocator<bool> > const&) [83]
[86]     0.0    0.00    0.01       1         std::vector<bool, std::allocator<bool> >* std::__uninitialized_fill_n_a<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> >, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&, std::allocator<std::vector<bool, std::allocator<bool> > >&) [86]
                0.00    0.01       1/1           std::vector<bool, std::allocator<bool> >* std::uninitialized_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&) [85]
-----------------------------------------------
                0.00    0.00     819/2457        std::vector<bool, std::allocator<bool> >::_M_copy_aligned(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [103]
                0.00    0.00    1638/2457        std::vector<bool, std::allocator<bool> >::begin() const [97]
[87]     0.0    0.01    0.00    2457         std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int) [87]
                0.00    0.00    2457/7744727     std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int) [95]
-----------------------------------------------
                0.00    0.01    9248/9248        std::vector<Edge, std::allocator<Edge> >::push_back(Edge&&) [89]
[88]     0.0    0.00    0.01    9248         Edge& std::vector<Edge, std::allocator<Edge> >::emplace_back<Edge>(Edge&&) [88]
                0.00    0.01      15/15          void std::vector<Edge, std::allocator<Edge> >::_M_realloc_insert<Edge>(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, Edge&&) [92]
                0.00    0.00   27714/60525       Edge&& std::forward<Edge>(std::remove_reference<Edge>::type&) [271]
                0.00    0.00    9248/9248        std::vector<Edge, std::allocator<Edge> >::back() [342]
                0.00    0.00    9233/8533856     operator new(unsigned long, void*) [177]
                0.00    0.00      15/9265        std::vector<Edge, std::allocator<Edge> >::end() [331]
-----------------------------------------------
                0.00    0.01    9248/9248        SARSegmentation::buildSuperpixelGraph() [11]
[89]     0.0    0.00    0.01    9248         std::vector<Edge, std::allocator<Edge> >::push_back(Edge&&) [89]
                0.00    0.01    9248/9248        Edge& std::vector<Edge, std::allocator<Edge> >::emplace_back<Edge>(Edge&&) [88]
                0.00    0.00    9248/134922      std::remove_reference<Edge&>::type&& std::move<Edge&>(Edge&) [259]
-----------------------------------------------
                0.01    0.00      30/30          std::vector<Edge, std::allocator<Edge> >::_M_check_len(unsigned long, char const*) const [91]
[90]     0.0    0.01    0.00      30         std::vector<Edge, std::allocator<Edge> >::max_size() const [90]
                0.00    0.00      30/30          std::vector<Edge, std::allocator<Edge> >::_S_max_size(std::allocator<Edge> const&) [135]
                0.00    0.00      30/31          std::_Vector_base<Edge, std::allocator<Edge> >::_M_get_Tp_allocator() const [543]
-----------------------------------------------
                0.00    0.01      15/15          void std::vector<Edge, std::allocator<Edge> >::_M_realloc_insert<Edge>(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, Edge&&) [92]
[91]     0.0    0.00    0.01      15         std::vector<Edge, std::allocator<Edge> >::_M_check_len(unsigned long, char const*) const [91]
                0.01    0.00      30/30          std::vector<Edge, std::allocator<Edge> >::max_size() const [90]
                0.00    0.00      60/62          std::vector<Edge, std::allocator<Edge> >::size() const [537]
                0.00    0.00      15/95187       unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&) [264]
-----------------------------------------------
                0.00    0.01      15/15          Edge& std::vector<Edge, std::allocator<Edge> >::emplace_back<Edge>(Edge&&) [88]
[92]     0.0    0.00    0.01      15         void std::vector<Edge, std::allocator<Edge> >::_M_realloc_insert<Edge>(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, Edge&&) [92]
                0.00    0.01      15/15          std::vector<Edge, std::allocator<Edge> >::_M_check_len(unsigned long, char const*) const [91]
                0.00    0.00      45/60525       Edge&& std::forward<Edge>(std::remove_reference<Edge>::type&) [271]
                0.00    0.00      30/33          std::_Vector_base<Edge, std::allocator<Edge> >::_M_get_Tp_allocator() [542]
                0.00    0.00      30/86790       __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::base() const [266]
                0.00    0.00      30/30          std::vector<Edge, std::allocator<Edge> >::_S_relocate(Edge*, Edge*, Edge*, std::allocator<Edge>&) [545]
                0.00    0.00      15/17          std::vector<Edge, std::allocator<Edge> >::begin() [556]
                0.00    0.00      15/2898        __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::difference_type __gnu_cxx::operator-<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&) [392]
                0.00    0.00      15/16          std::_Vector_base<Edge, std::allocator<Edge> >::_M_allocate(unsigned long) [557]
                0.00    0.00      15/8533856     operator new(unsigned long, void*) [177]
                0.00    0.00      15/17          std::_Vector_base<Edge, std::allocator<Edge> >::_M_deallocate(Edge*, unsigned long) [555]
-----------------------------------------------
                0.00    0.00    9247/6775388     std::_Rb_tree_iterator<std::pair<int, int> > std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_insert_<std::pair<int, int> const&, std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<int, int> const&, std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Alloc_node&) [108]
                0.00    0.00    9248/6775388     std::pair<std::_Rb_tree_iterator<std::pair<int, int> >, bool> std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_insert_unique<std::pair<int, int> const&>(std::pair<int, int> const&) [77]
                0.00    0.00 6756893/6775388     std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_key(std::_Rb_tree_node<std::pair<int, int> > const*) [29]
[93]     0.0    0.01    0.00 6775388         std::_Identity<std::pair<int, int> >::operator()(std::pair<int, int> const&) const [93]
-----------------------------------------------
                0.00    0.00   97042/825518      SARSegmentation::extractSuperpixels() [3]
                0.00    0.00  728476/825518      SARSegmentation::growSuperpixel(int, int, Superpixel&, std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >&) [9]
[94]     0.0    0.01    0.00  825518         std::_Bit_reference::operator=(bool) [94]
-----------------------------------------------
                0.00    0.00    1638/7744727     std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&) [130]
                0.00    0.00    2457/7744727     std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int) [87]
                0.00    0.00    3280/7744727     std::_Bit_iterator::_Bit_iterator() [121]
                0.00    0.00 7737352/7744727     std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int) [30]
[95]     0.0    0.00    0.00 7744727         std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int) [95]
-----------------------------------------------
                0.00    0.00    5570/514822      SARSegmentation::calculateSuperpixelProperties(Superpixel&) [113]
                0.00    0.00    6308/514822      cv::Point_<int>& std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::emplace_back<cv::Point_<int> >(cv::Point_<int>&&) [18]
                0.00    0.00   16184/514822      SARSegmentation::extractSuperpixels() [3]
                0.00    0.00   69874/514822      std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::push_back(cv::Point_<int> const&) [25]
                0.00    0.00  416886/514822      std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::back() [43]
[96]     0.0    0.00    0.00  514822         std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::end() [96]
                0.00    0.00  514822/1029644     __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::__normal_iterator(cv::Point_<int>* const&) [71]
-----------------------------------------------
                0.00    0.00     819/1638        std::vector<bool, std::allocator<bool> >::vector(std::vector<bool, std::allocator<bool> > const&) [80]
                0.00    0.00     819/1638        std::vector<bool, std::allocator<bool> >::size() const [104]
[97]     0.0    0.00    0.00    1638         std::vector<bool, std::allocator<bool> >::begin() const [97]
                0.00    0.00    1638/2457        std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int) [87]
-----------------------------------------------
                0.00    0.00 4193280/4193280     std::tuple_element<0ul, std::pair<int, int> >::type&& std::get<0ul, int, int>(std::pair<int, int>&&) [49]
[98]     0.0    0.00    0.00 4193280         int&& std::__pair_get<0ul>::__move_get<int, int>(std::pair<int, int>&&) [98]
                0.00    0.00 4193280/12579840     int&& std::forward<int>(std::remove_reference<int>::type&) [52]
-----------------------------------------------
                0.00    0.00    6308/6308        cv::Point_<int>& std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::emplace_back<cv::Point_<int> >(cv::Point_<int>&&) [18]
[99]     0.0    0.00    0.00    6308         void std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_realloc_insert<cv::Point_<int> >(__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >, cv::Point_<int>&&) [99]
                0.00    0.00   12616/152364      std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_S_relocate(cv::Point_<int>*, cv::Point_<int>*, cv::Point_<int>*, std::allocator<cv::Point_<int> >&) [38]
                0.00    0.00    6308/76182       __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::difference_type __gnu_cxx::operator-<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >(__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > const&, __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > const&) [67]
                0.00    0.00    6308/76182       std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_check_len(unsigned long, char const*) const [102]
                0.00    0.00    6308/97936       std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::begin() [107]
                0.00    0.00   18924/6997300     cv::Point_<int>&& std::forward<cv::Point_<int> >(std::remove_reference<cv::Point_<int> >::type&) [55]
                0.00    0.00   12616/180998      std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_get_Tp_allocator() [255]
                0.00    0.00   12616/3068056     __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::base() const [191]
                0.00    0.00    6308/78967       std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_allocate(unsigned long) [267]
                0.00    0.00    6308/8533856     operator new(unsigned long, void*) [177]
                0.00    0.00    6308/102031      std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_deallocate(cv::Point_<int>*, unsigned long) [263]
-----------------------------------------------
                0.00    0.00  152364/152364      std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_check_len(unsigned long, char const*) const [102]
[100]    0.0    0.00    0.00  152364         std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::max_size() const [100]
                0.00    0.00  152364/152364      std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_S_max_size(std::allocator<cv::Point_<int> > const&) [101]
                0.00    0.00  152364/155149      std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_get_Tp_allocator() const [257]
-----------------------------------------------
                0.00    0.00  152364/152364      std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::max_size() const [100]
[101]    0.0    0.00    0.00  152364         std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_S_max_size(std::allocator<cv::Point_<int> > const&) [101]
                0.00    0.00  152364/1209132     unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&) [36]
-----------------------------------------------
                0.00    0.00    6308/76182       void std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_realloc_insert<cv::Point_<int> >(__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >, cv::Point_<int>&&) [99]
                0.00    0.00   69874/76182       void std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_realloc_insert<cv::Point_<int> const&>(__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >, cv::Point_<int> const&) [26]
[102]    0.0    0.00    0.00   76182         std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_check_len(unsigned long, char const*) const [102]
                0.00    0.00  152364/152364      std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::max_size() const [100]
                0.00    0.00  304728/345977      std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::size() const [254]
                0.00    0.00   76182/95187       unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&) [264]
-----------------------------------------------
                0.00    0.00     819/819         std::vector<bool, std::allocator<bool> >::vector(std::vector<bool, std::allocator<bool> > const&) [80]
[103]    0.0    0.00    0.00     819         std::vector<bool, std::allocator<bool> >::_M_copy_aligned(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [103]
                0.00    0.00     819/2457        std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int) [87]
                0.00    0.00     819/7737352     std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int) [30]
                0.00    0.00     819/819         unsigned long* std::copy<unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*) [494]
                0.00    0.00     819/819         std::_Bit_iterator std::copy<std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator) [495]
-----------------------------------------------
                0.00    0.00     819/819         std::vector<bool, std::allocator<bool> >::vector(std::vector<bool, std::allocator<bool> > const&) [80]
[104]    0.0    0.00    0.00     819         std::vector<bool, std::allocator<bool> >::size() const [104]
                0.00    0.00     819/1638        std::vector<bool, std::allocator<bool> >::begin() const [97]
                0.00    0.00     819/1638        std::vector<bool, std::allocator<bool> >::end() const [129]
                0.00    0.00     819/1638        std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&) [437]
-----------------------------------------------
                0.00    0.00 2096640/2096640     SARSegmentation::buildSuperpixelGraph() [11]
[105]    0.0    0.00    0.00 2096640         std::pair<int, int>::pair<int&, int, true>(int&, int&&) [105]
                0.00    0.00 2096640/12579840     int&& std::forward<int>(std::remove_reference<int>::type&) [52]
                0.00    0.00 2096640/4193280     int& std::forward<int&>(std::remove_reference<int&>::type&) [187]
-----------------------------------------------
                0.00    0.00 2096640/2096640     SARSegmentation::buildSuperpixelGraph() [11]
[106]    0.0    0.00    0.00 2096640         std::pair<int, int>::pair<int, int&, true>(int&&, int&) [106]
                0.00    0.00 2096640/12579840     int&& std::forward<int>(std::remove_reference<int>::type&) [52]
                0.00    0.00 2096640/4193280     int& std::forward<int&>(std::remove_reference<int&>::type&) [187]
-----------------------------------------------
                0.00    0.00    5570/97936       SARSegmentation::calculateSuperpixelProperties(Superpixel&) [113]
                0.00    0.00    6308/97936       void std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_realloc_insert<cv::Point_<int> >(__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >, cv::Point_<int>&&) [99]
                0.00    0.00   16184/97936       SARSegmentation::extractSuperpixels() [3]
                0.00    0.00   69874/97936       void std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::_M_realloc_insert<cv::Point_<int> const&>(__gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >, cv::Point_<int> const&) [26]
[107]    0.0    0.00    0.00   97936         std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::begin() [107]
                0.00    0.00   97936/1029644     __gnu_cxx::__normal_iterator<cv::Point_<int>*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >::__normal_iterator(cv::Point_<int>* const&) [71]
-----------------------------------------------
                0.00    0.00    9248/9248        std::pair<std::_Rb_tree_iterator<std::pair<int, int> >, bool> std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_insert_unique<std::pair<int, int> const&>(std::pair<int, int> const&) [77]
[108]    0.0    0.00    0.00    9248         std::_Rb_tree_iterator<std::pair<int, int> > std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_insert_<std::pair<int, int> const&, std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<int, int> const&, std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Alloc_node&) [108]
                0.00    0.00    9247/433325      std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_key(std::_Rb_tree_node_base const*) [51]
